Distination,appid,len,path,time,state,seq,data_cnt
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 15.048999965)",4,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 14.927999973)",6,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 14.927999973)",5,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 9.547999978)",5,4,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 9.547999978)",4,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 15.048999965)",5,2,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 15.048999965)",4,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 14.927999973)",6,3,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 14.927999973)",5,3,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 15.048999965)",5,3,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 15.048999965)",4,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 16.885999977)",5,0,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 16.885999977)",5,1,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 16.885999977)",5,2,1
