Distination,appid,len,path,t,state,seq,data_cnt
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,70.0019999742508,7,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,70.12199997901917,7,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,70.12199997901917,6,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,71.96000003814697,7,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,80.12199997901917,7,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,80.12199997901917,8,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,80.12199997901917,8,1,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,80.12199997901917,7,1,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,80.12199997901917,8,2,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,80.12199997901917,7,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,74.62199997901917,8,4,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,74.62199997901917,7,4,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,70.0019999742508,8,5,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,70.0019999742508,7,5,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,80.12199997901917,8,3,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,80.12199997901917,7,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,71.96000003814697,7,5,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,85.0019999742508,8,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,85.0019999742508,9,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,85.0019999742508,9,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,85.0019999742508,8,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,85.0019999742508,9,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,85.0019999742508,8,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,74.62199997901917,8,5,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,74.62199997901917,7,5,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,85.0019999742508,9,3,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,85.0019999742508,8,3,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,80.12199997901917,8,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,80.12199997901917,7,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,86.96000003814697,8,0,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,86.96000003814697,8,1,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,86.96000003814697,8,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,86.96000003814697,8,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,89.62199997901917,8,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,89.62199997901917,9,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,89.62199997901917,9,1,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,89.62199997901917,8,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,89.62199997901917,9,2,1
